,Datetime,AvgPrice
536,06-02-2013,6659.5
537,07-02-2013,6763
538,08-02-2013,6600
539,09-02-2013,5050
540,11-02-2013,6686
541,12-02-2013,6378
542,13-02-2013,6530
543,14-02-2013,6469
544,15-02-2013,6380
545,18-02-2013,6502.5
546,19-02-2013,6480
547,20-02-2013,6350
548,21-02-2013,6355.5
549,22-02-2013,6134
550,25-02-2013,6060
551,26-02-2013,5905
552,27-02-2013,5903
553,28-02-2013,6169.5
554,01-03-2013,6100
555,04-03-2013,5974
556,05-03-2013,6016
557,06-03-2013,6035
558,07-03-2013,6086
559,08-03-2013,5948
560,11-03-2013,6125
561,12-03-2013,6257
562,13-03-2013,5900
563,14-03-2013,6100
564,15-03-2013,5784
565,18-03-2013,5735
566,19-03-2013,5525
567,20-03-2013,5459
568,21-03-2013,5402.5
569,22-03-2013,5548
570,25-03-2013,5532
571,26-03-2013,5414
572,27-03-2013,5628
573,28-03-2013,5656
574,29-03-2013,4616
575,01-04-2013,5711
576,02-04-2013,5904.5
577,03-04-2013,6000
578,04-04-2013,6047
579,05-04-2013,6036
580,08-04-2013,5805.5
581,09-04-2013,5824
582,10-04-2013,5861
583,11-04-2013,4681
584,12-04-2013,5818
585,15-04-2013,5861.5
586,16-04-2013,5891
587,17-04-2013,5869
588,18-04-2013,5893.5
589,19-04-2013,5756
590,22-04-2013,5639
591,23-04-2013,5549
592,24-04-2013,4439
593,25-04-2013,5625
594,26-04-2013,5611
595,29-04-2013,5681.5
596,30-04-2013,5681
597,01-05-2013,4032.5
598,02-05-2013,5604.5
599,03-05-2013,5613
600,06-05-2013,5607
601,07-05-2013,5800
602,08-05-2013,5689
603,09-05-2013,5823
604,10-05-2013,5900
605,11-05-2013,4591
606,13-05-2013,5813
607,14-05-2013,5729
608,15-05-2013,5636
609,16-05-2013,5723
610,17-05-2013,5748
611,20-05-2013,5721
612,21-05-2013,5701
613,22-05-2013,5753
614,23-05-2013,5662.5
615,24-05-2013,5781
616,26-05-2013,4300
617,27-05-2013,5786
618,28-05-2013,5650
619,29-05-2013,5675
620,30-05-2013,5557.5
621,31-05-2013,5715
622,03-06-2013,5606.5
623,04-06-2013,5648
624,05-06-2013,5662.5
